Skin,10,4,245057,2.0,0.8041,0.018236241167939725,0.02130831637620602,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,100,4,245057,2.0,0.8041,0.01823624116793962,0.02130831637620567,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,1000,4,245057,2.0,0.8041,0.01823624116793961,0.0213083163762055,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,10,2,100,4.0,1.5000,0.09946452762104678,0.13298230908031086,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,100,2,100,4.0,1.5000,0.09946452762104678,0.13298230908031086,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,1000,2,100,4.0,1.5000,0.0994645276210468,0.13298230908031086,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,10,2,1000,2.4,1.6800,0.016355825182343773,0.021887894276541968,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,100,2,1000,2.4,1.6800,0.01635582518234377,0.021887894276541964,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,1000,2,1000,2.4,1.6800,0.016355825182343766,0.02188789427654196,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,10,2,10000,2.0,1.4520,0.011600527811483567,0.012285550425391614,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,100,2,10000,2.0,1.4520,0.01160052781148355,0.012285550425391614,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,1000,2,10000,2.0,1.4520,0.01160052781148355,0.012285550425391615,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,10,2,100000,1.7272727,1.0632,0.005883309843750196,0.010832061791637218,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,100,2,100000,1.7272727,1.0632,0.005883309843750207,0.010832061791637107,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,1000,2,100000,1.7272727,1.0632,0.005883309843750192,0.01083206179163709,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,10,4,245057,2.0833333,0.8235,0.01794741628075531,0.021758600003751332,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Skin,100,4,245057,2.0833333,0.8235,0.01794741628075517,0.021758600003751113,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
