Shuttle,10,2,1000,2.6,1.3500,0.0010,0.0010,14,10,13,9,8,7,11,12,4,15,3,0,2,6,5,1,
Shuttle,100,2,1000,2.6,1.3500,0.0010,0.0010,6,13,7,3,14,8,2,4,10,9,5,12,0,15,1,11,
Shuttle,1000,2,1000,2.6,1.3500,0.0010,0.0010,6,13,5,15,14,10,7,0,8,9,3,2,12,4,1,11,
Shuttle,10,2,5000,2.2857144,0.5160,0.0052,0.0325,6,3,13,0,5,14,2,8,7,15,9,11,4,10,1,12,
Shuttle,100,2,5000,2.2857144,0.5160,0.0052,0.0325,6,14,3,13,7,12,10,8,5,9,15,2,0,4,11,1,
Shuttle,1000,2,5000,2.2857144,0.5160,0.0052,0.0325,6,13,14,15,10,7,8,9,5,4,12,11,0,3,2,1,
Shuttle,10,2,10000,2.375,0.3120,0.0065,0.0430,13,14,0,2,11,10,15,9,7,8,1,4,3,6,12,5,
Shuttle,100,2,10000,2.375,0.3120,0.0065,0.0430,14,13,15,7,8,10,12,6,9,2,0,4,11,1,3,5,
Shuttle,1000,2,10000,2.375,0.3120,0.0065,0.0430,6,13,15,14,10,7,8,9,0,5,2,12,4,1,11,3,
Shuttle,10,10,1000,2.8,1.0500,0.0021,0.0015,3,6,2,0,7,4,1,8,9,10,14,5,13,11,12,15,
Shuttle,100,10,1000,2.8,1.0500,0.0021,0.0015,14,6,7,13,8,3,9,2,15,0,4,1,10,12,11,5,
Shuttle,1000,10,1000,2.8,1.0500,0.0021,0.0015,6,13,10,7,8,14,15,9,5,0,2,4,1,3,12,11,
Shuttle,10,10,5000,2.7142856,0.5400,0.0035,0.0119,0,1,14,7,9,11,10,8,4,2,3,6,12,5,13,15,
Shuttle,100,10,5000,2.7142856,0.5400,0.0035,0.0119,14,10,13,7,15,9,8,11,6,12,2,0,3,1,4,5,
Shuttle,1000,10,5000,2.7142856,0.5400,0.0035,0.0119,14,7,6,9,8,10,13,2,15,0,4,1,12,11,5,3,
Shuttle,10,10,10000,2.875,0.3300,0.0054,0.0209,2,14,11,0,8,3,7,4,10,6,9,1,13,12,15,5,
Shuttle,100,10,10000,2.875,0.3300,0.0054,0.0209,14,10,13,7,12,15,8,9,11,6,2,0,4,1,3,5,
Shuttle,1000,10,10000,2.875,0.3300,0.0054,0.0209,14,7,8,9,10,6,13,2,0,15,12,4,1,11,5,3,
Spatial,10,2,1000,2.0,1.6200,0.0110,0.0153,15,13,14,10,11,4,7,9,12,8,3,2,0,6,1,5,
Spatial,100,2,1000,2.0,1.6200,0.0110,0.0153,6,7,14,8,9,10,2,3,4,12,0,13,5,1,11,15,
Spatial,1000,2,1000,2.0,1.6200,0.0110,0.0153,6,5,13,0,3,8,10,7,9,12,11,2,4,14,15,1,
Spatial,10,2,5000,2.0,1.6860,0.0099,0.0195,13,14,15,6,10,7,8,11,9,12,4,3,5,2,0,1,
Spatial,100,2,5000,2.0,1.6860,0.0099,0.0195,14,13,7,9,6,8,10,2,12,15,3,4,0,11,1,5,
Spatial,1000,2,5000,2.0,1.6860,0.0099,0.0195,14,7,9,8,10,13,6,2,4,0,1,15,12,11,5,3,
Spatial,10,2,10000,1.875,1.7040,0.0064,0.0106,13,14,15,3,0,2,11,6,10,1,4,7,8,9,12,5,
Spatial,100,2,10000,1.875,1.7040,0.0064,0.0106,14,7,6,8,10,9,15,2,13,3,12,4,1,11,0,5,
Spatial,1000,2,10000,1.875,1.7040,0.0064,0.0106,6,14,7,10,9,8,2,13,4,1,0,12,15,11,5,3,
Spatial,10,2,50000,2.0,1.5942,0.0046,0.0048,13,15,14,6,2,3,1,0,10,7,11,4,9,8,12,5,
Spatial,100,2,50000,2.0,1.5942,0.0046,0.0048,14,13,7,10,9,15,8,6,12,2,3,4,11,1,0,5,
Spatial,1000,2,50000,2.0,1.5942,0.0046,0.0048,14,10,7,9,8,6,13,2,12,0,4,1,11,15,3,5,
Spatial,10,2,100000,1.8181819,1.6002,0.0038,0.0036,13,15,14,3,6,2,7,11,4,10,9,8,0,1,12,5,
Spatial,100,2,100000,1.8181819,1.6002,0.0038,0.0036,14,13,7,10,9,15,8,6,2,12,3,4,0,11,1,5,
Spatial,1000,2,100000,1.8181819,1.6002,0.0038,0.0036,14,7,10,9,8,6,13,2,12,0,15,4,1,11,3,5,
KeggDirected,10,2,1000,2.2,1.2300,0.0169,0.0410,9,10,8,14,7,4,2,11,13,12,3,15,5,0,6,1,
KeggDirected,100,2,1000,2.2,1.2300,0.0169,0.0410,6,3,13,8,14,9,7,10,0,12,5,2,4,1,11,15,
KeggDirected,1000,2,1000,2.2,1.2300,0.0169,0.0410,14,10,6,7,15,8,9,5,13,0,12,4,3,11,2,1,
KeggDirected,10,2,5000,2.142857,1.0440,0.0078,0.0235,14,15,2,7,6,1,10,9,4,8,11,13,3,12,5,0,
KeggDirected,100,2,5000,2.142857,1.0440,0.0078,0.0235,14,13,6,9,7,8,10,2,12,15,4,3,11,1,5,0,
KeggDirected,1000,2,5000,2.142857,1.0440,0.0078,0.0235,6,14,10,7,8,15,9,13,2,4,5,1,12,0,11,3,
KeggDirected,10,2,10000,2.0,0.9000,0.0053,0.0131,13,14,15,2,1,11,3,7,10,4,8,12,9,0,6,5,
KeggDirected,100,2,10000,2.0,0.9000,0.0053,0.0131,14,7,15,13,9,8,10,6,12,2,3,11,1,4,0,5,
KeggDirected,1000,2,10000,2.0,0.9000,0.0053,0.0131,14,6,7,10,8,9,15,13,2,4,12,1,0,11,5,3,
KeggDirected,10,2,50000,1.7,0.5694,0.0029,0.0068,13,15,14,2,7,11,10,3,9,4,8,1,6,12,0,5,
KeggDirected,100,2,50000,1.7,0.5694,0.0029,0.0068,14,13,15,10,7,9,8,12,2,6,3,4,11,1,0,5,
KeggDirected,1000,2,50000,1.7,0.5694,0.0029,0.0068,14,10,7,9,8,6,15,12,2,13,4,11,1,0,5,3,
KeggDirected,10,10,1000,2.2,1.1400,0.0229,0.0542,2,1,4,7,8,3,6,0,14,9,11,12,13,10,5,15,
KeggDirected,100,10,1000,2.2,1.1400,0.0229,0.0542,14,6,15,7,13,9,8,2,3,11,12,4,0,1,10,5,
KeggDirected,1000,10,1000,2.2,1.1400,0.0229,0.0542,6,14,10,7,15,9,8,13,2,4,0,5,1,3,12,11,
KeggDirected,10,10,5000,2.2857144,1.0080,0.0090,0.0228,1,7,2,4,10,9,0,14,8,13,11,3,12,15,6,5,
KeggDirected,100,10,5000,2.2857144,1.0080,0.0090,0.0228,14,7,9,8,10,12,2,15,6,13,3,4,11,1,0,5,
KeggDirected,1000,10,5000,2.2857144,1.0080,0.0090,0.0228,14,6,7,9,8,10,2,13,15,4,1,0,12,11,5,3,
KeggDirected,10,10,10000,2.625,0.9630,0.0067,0.0142,14,13,15,2,10,1,11,8,4,7,9,0,12,3,6,5,
KeggDirected,100,10,10000,2.625,0.9630,0.0067,0.0142,14,7,9,8,10,2,12,6,3,4,11,1,13,0,15,5,
KeggDirected,1000,10,10000,2.625,0.9630,0.0067,0.0142,14,7,9,10,8,6,13,2,12,4,1,15,0,11,3,5,
KeggDirected,10,10,50000,2.5,0.5562,0.0032,0.0074,14,13,15,2,1,7,10,11,8,4,9,0,12,3,6,5,
KeggDirected,100,10,50000,2.5,0.5562,0.0032,0.0074,14,7,10,8,9,12,2,6,4,13,1,11,0,3,15,5,
KeggDirected,1000,10,50000,2.5,0.5562,0.0032,0.0074,7,14,10,9,8,2,12,6,4,13,1,11,0,15,3,5,
KeggDirected,10,20,1000,2.8,1.0800,0.0243,0.0557,14,2,7,4,9,1,8,10,11,3,12,6,0,13,15,5,
KeggDirected,100,20,1000,2.8,1.0800,0.0243,0.0557,14,7,9,8,6,2,3,4,13,1,15,10,11,0,12,5,
KeggDirected,1000,20,1000,2.8,1.0800,0.0243,0.0557,6,14,7,10,8,9,15,2,4,13,1,0,5,3,12,11,
KeggDirected,10,20,5000,2.7142856,1.1160,0.0088,0.0220,14,2,10,1,9,8,4,7,11,12,15,13,0,3,6,5,
KeggDirected,100,20,5000,2.7142856,1.1160,0.0088,0.0220,14,7,9,8,10,12,2,3,6,15,4,13,11,1,0,5,
KeggDirected,1000,20,5000,2.7142856,1.1160,0.0088,0.0220,14,7,9,8,6,10,2,15,1,4,13,0,11,12,3,5,
KeggDirected,10,20,10000,2.25,0.8970,0.0077,0.0179,14,7,4,13,8,15,2,9,1,11,12,3,10,0,6,5,
KeggDirected,100,20,10000,2.25,0.8970,0.0077,0.0179,14,7,9,8,10,2,12,3,15,4,6,1,11,13,0,5,
KeggDirected,1000,20,10000,2.25,0.8970,0.0077,0.0179,14,7,8,9,10,15,2,13,6,12,4,1,11,0,3,5,
KeggDirected,10,20,50000,2.6,0.3444,0.0020,0.0151,14,2,7,1,10,9,11,8,4,13,15,0,3,12,6,5,
KeggDirected,100,20,50000,2.6,0.3444,0.0020,0.0151,14,7,10,9,12,8,15,2,4,13,11,6,1,0,3,5,
KeggDirected,1000,20,50000,2.6,0.3444,0.0020,0.0151,7,10,9,14,8,2,12,4,1,6,11,13,0,15,3,5,
KeggUndirect,10,2,1000,2.0,1.2900,0.0206,0.0504,14,10,11,8,7,9,2,12,13,3,4,0,6,5,15,1,
KeggUndirect,100,2,1000,2.0,1.2900,0.0206,0.0504,6,13,3,14,15,10,7,8,9,5,0,2,12,4,11,1,
KeggUndirect,1000,2,1000,2.0,1.2900,0.0206,0.0504,6,13,5,0,12,14,15,7,10,8,11,9,2,4,3,1,
