NYC,10,2,1000,1.8,1.44,0.015218213,0.060756318,7,8,9,13,10,14,11,12,4,2,3,15,0,5,1,6
NYC,100,2,1000,1.8,1.44,0.015218213,0.060756318,6,3,13,14,12,8,7,9,10,2,4,15,0,5,1,11
NYC,1000,2,1000,1.8,1.44,0.015218213,0.060756318,10,14,15,7,6,8,9,5,13,0,12,3,2,11,4,1
NYC,10,2,5000,1.7142857,1.38,0.002832634,0.012459798,13,15,14,3,11,2,10,7,6,8,1,12,9,4,5,0
NYC,100,2,5000,1.7142857,1.38,0.002832634,0.012459798,2,7,6,8,9,13,10,14,12,4,1,3,11,15,5,0
NYC,1000,2,5000,1.7142857,1.38,0.002832634,0.012459798,6,14,7,9,10,8,13,15,2,4,12,1,0,5,3,11
NYC,10,2,10000,1.625,1.536,0.001595923,0.009982797,13,15,14,11,9,10,8,2,12,4,7,3,1,6,0,5
NYC,100,2,10000,1.625,1.536,0.001595923,0.009982797,14,7,9,10,8,13,6,2,15,12,4,11,1,3,0,5
NYC,1000,2,10000,1.625,1.536,0.001595923,0.009982797,14,6,7,9,8,10,13,2,15,12,0,4,1,11,5,3
NYC,10,2,50000,1.8,1.5216,4.26E-04,0.008424361,13,15,14,10,2,7,8,3,9,4,1,11,12,0,6,5
NYC,100,2,50000,1.8,1.5216,4.26E-04,0.008424361,14,13,15,7,10,9,8,2,12,6,11,4,1,0,3,5
NYC,1000,2,50000,1.8,1.5216,4.26E-04,0.008424361,14,7,10,9,8,6,13,2,12,15,0,4,11,1,5,3
NYC,10,2,100000,1.8181819,1.4694,2.32E-04,0.002196512,13,15,14,2,7,11,10,9,8,3,4,1,0,12,6,5
NYC,100,2,100000,1.8181819,1.4694,2.32E-04,0.002196512,14,13,15,7,10,8,9,12,2,6,4,11,1,3,0,5
NYC,1000,2,100000,1.8181819,1.4694,2.32E-04,0.002196512,14,7,10,9,8,6,13,12,2,15,0,4,1,11,3,5
NYC,10,2,500000,1.7142857,1.0909,1.04E-04,0.001399722,13,15,14,2,7,4,1,10,9,11,8,12,0,3,6,5
NYC,100,2,500000,1.7142857,1.0909,1.04E-04,0.001399722,13,14,15,10,7,9,8,12,2,4,6,11,1,0,3,5
NYC,1000,2,500000,1.7142857,1.0909,1.04E-04,0.001399722,14,7,13,10,9,8,15,6,12,2,0,4,1,11,3,5
NYC,10,2,1000,1.8,1.44,0.015219676,0.06075605,13,14,10,9,11,15,8,7,12,4,2,3,0,5,6,1
NYC,100,2,1000,1.8,1.44,0.015219676,0.06075605,6,7,8,14,3,9,13,2,4,10,12,1,11,0,5,15
NYC,1000,2,1000,1.8,1.44,0.015219676,0.06075605,6,5,13,12,3,7,10,8,0,15,9,11,2,4,14,1
NYC,10,2,5000,1.7142857,1.368,0.002836648,0.012514835,13,15,14,6,3,8,7,10,9,11,1,5,2,12,0,4
NYC,100,2,5000,1.7142857,1.368,0.002836648,0.012514835,14,7,8,9,6,10,12,15,3,11,2,4,13,1,5,0
NYC,1000,2,5000,1.7142857,1.368,0.002836648,0.012514835,6,14,7,9,8,10,13,15,2,4,0,1,12,11,5,3
NYC,10,2,10000,1.625,1.569,0.001550285,0.009879594,13,15,14,11,2,7,10,12,9,8,4,3,1,0,6,5
NYC,100,2,10000,1.625,1.569,0.001550285,0.009879594,14,7,10,9,8,13,2,6,15,12,4,11,1,3,0,5
NYC,1000,2,10000,1.625,1.569,0.001550285,0.009879594,14,7,6,9,10,8,13,12,2,15,0,4,1,11,5,3
NYC,10,2,50000,1.8,1.5174,4.29E-04,0.008436072,13,15,14,11,10,7,9,2,8,12,4,1,3,6,0,5
NYC,100,2,50000,1.8,1.5174,4.29E-04,0.008436072,14,13,15,7,10,9,8,2,12,6,4,11,1,0,3,5
NYC,1000,2,50000,1.8,1.5174,4.29E-04,0.008436072,14,7,10,9,8,6,13,12,2,0,15,4,1,11,3,5
NYC,10,2,100000,1.8181819,1.464,2.34E-04,0.002201062,13,15,14,7,9,10,4,2,11,8,3,1,12,0,6,5
NYC,100,2,100000,1.8181819,1.464,2.34E-04,0.002201062,14,13,15,7,10,9,8,2,12,6,4,11,1,0,3,5
NYC,1000,2,100000,1.8181819,1.464,2.34E-04,0.002201062,14,7,10,9,8,6,13,12,2,0,15,4,1,11,3,5
NYC,10,2,500000,1.7142857,1.083,1.05E-04,0.001404855,13,15,14,2,11,10,8,7,1,9,4,3,12,0,6,5
NYC,100,2,500000,1.7142857,1.083,1.05E-04,0.001404855,13,14,15,7,10,9,8,2,12,4,11,6,1,0,3,5
NYC,1000,2,500000,1.7142857,1.083,1.05E-04,0.001404855,14,13,7,10,9,8,15,6,12,2,0,4,11,1,3,5
NYC,10,2,1000000,1.6666666,0.862,7.99E-05,5.66E-04,13,15,14,2,10,8,1,7,11,9,4,12,3,0,6,5
NYC,100,2,1000000,1.6666666,0.862,7.99E-05,5.66E-04,13,14,15,7,10,9,8,12,2,4,11,6,1,3,0,5
NYC,1000,2,1000000,1.6666666,0.862,7.99E-05,5.66E-04,14,13,15,7,10,9,8,12,6,2,0,1,4,11,3,5
USCensus,10,2,1000,2,1.05,0.045771833,0.07013023,14,15,13,11,10,9,12,7,8,4,6,2,3,0,1,5
USCensus,100,2,1000,2,1.05,0.045771833,0.07013023,13,6,15,14,5,7,2,4,3,10,0,8,9,1,12,11
USCensus,1000,2,1000,2,1.05,0.045771833,0.07013023,6,13,5,14,15,7,8,10,9,0,12,2,4,3,1,11
USCensus,10,2,5000,1.8571428,0.3,0.028134469,0.069881582,13,14,15,6,3,5,0,2,7,8,1,4,11,9,10,12
USCensus,100,2,5000,1.8571428,0.3,0.028134469,0.069881582,13,6,14,15,3,5,0,10,8,9,7,12,2,11,1,4
USCensus,1000,2,5000,1.8571428,0.3,0.028134469,0.069881582,14,15,6,13,7,10,9,8,5,12,4,0,11,2,1,3
USCensus,10,2,10000,1.75,0.18,0.022970356,0.04823587,13,14,15,3,11,7,10,4,2,8,1,9,12,6,5,0
USCensus,100,2,10000,1.75,0.18,0.022970356,0.04823587,13,15,14,6,7,10,8,9,5,3,2,11,12,4,0,1
USCensus,1000,2,10000,1.75,0.18,0.022970356,0.04823587,13,15,14,6,0,7,9,8,10,5,12,2,4,11,1,3
USCensus,10,2,50000,1.6,0.0498,0.010928488,0.0300027,14,13,15,6,7,0,11,3,2,8,10,9,1,4,12,5
USCensus,100,2,50000,1.6,0.0498,0.010928488,0.0300027,13,15,14,6,7,10,9,8,0,5,12,2,3,4,11,1
